StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q9,Q15,Q17,Q19,Q10,Q5,Q9,Q11,Q10,Q12,Q20,Q21,Q22,Q11
2019-07-22 15:20:46,2019-07-22 15:23:00,IP Address,216.165.95.146,100,133,True,2019-07-22 15:23:00,R_Wk8svKWeBYcMrcd,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,9717,18-24,Female,Right,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
2019-07-22 15:31:33,2019-07-22 15:36:15,IP Address,216.165.95.146,100,281,True,2019-07-22 15:36:15,R_1E11yPrkigRDZT2,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,2990,25-34,Female,Right,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree
2019-07-23 09:41:11,2019-07-23 09:42:10,IP Address,216.165.95.132,100,59,True,2019-07-23 09:42:11,R_A50vVClT1wnF6CJ,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,3154,18-24,Male,Right,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree
2019-07-23 10:00:45,2019-07-23 10:04:32,IP Address,216.165.95.132,100,227,True,2019-07-23 10:04:32,R_2BerlwSILwuA2vo,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,6339,25-34,Female,Right,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree
2019-07-23 10:57:27,2019-07-23 10:57:51,IP Address,216.165.95.155,100,23,True,2019-07-23 10:57:51,R_2f425Fkbc872Cxn,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,,,,,,,,,,,,,,
2019-07-26 17:45:01,2019-07-26 17:47:34,IP Address,216.165.95.166,100,153,True,2019-07-26 17:47:34,R_2PjJ8x73KclWojV,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,9053,25-34,Female,Right,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
2019-08-01 14:21:56,2019-08-01 14:24:14,IP Address,216.165.95.166,100,138,True,2019-08-01 14:24:14,R_eUUWz3JRew5x601,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,7612,18-24,Male,Right,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
2019-08-01 14:57:59,2019-08-01 14:59:06,IP Address,216.165.95.166,100,66,True,2019-08-01 14:59:06,R_3IX2Ds4RyKFNOWv,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,2064,18-24,Male,Right,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
2019-08-01 15:26:30,2019-08-01 15:27:45,IP Address,216.165.95.166,100,75,True,2019-08-01 15:27:46,R_x5xx1W1Y1JX2BmV,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,3162,18-24,Male,Right,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree
2019-08-01 15:55:20,2019-08-01 15:56:45,IP Address,216.165.95.166,100,84,True,2019-08-01 15:56:45,R_AvrbgCw9TuqGDJf,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,2463,18-24,Male,Right,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree
